"Date","1 oz","1/2 oz","1/4 oz"
"Selling","Buying","Selling","Buying","Selling","Buying"
"10 Aug 2020","9,044","8,692","4,607","4,346","2,346","2,173"
"11 Aug 2020","9,019","8,671","4,595","4,335","2,340","2,168"
"12 Aug 2020","8,542","8,200","4,351","4,100","2,216","2,050"
"13 Aug 2020","8,574","8,241","4,368","4,120","2,224","2,060"
"14 Aug 2020","8,716","8,367","4,440","4,183","2,261","2,092"
"17 Aug 2020","8,613","8,273","4,388","4,136","2,235","2,068"
"18 Aug 2020","8,811","8,468","4,488","4,234","2,286","2,117"
"19 Aug 2020","8,886","8,538","4,527","4,269","2,305","2,135"
"21 Aug 2020","8,658","8,321","4,411","4,161","2,246","2,080"
"25 Aug 2020","8,551","8,218","4,356","4,109","2,218","2,054"
"26 Aug 2020","8,526","8,195","8,344","4,097","2,212","2,049"
"27 Aug 2020","8,630","8,295","4,397","4,147","2,239","2,074"
"28 Aug 2020","8,525","8,194","4,343","4,097","2,212","2,048"
"31 Aug 2020","8,700","8,352","4,432","4,176","2,257","2,088"
"01 Sep 2020","8,700","8,352","4,432","4,176","2,257","2,088"
"02 Sep 2020","8,682","8,338","4,423","4,169","2,252","2,085"
"03 Sep 2020","8,551","8,219","4,356","4,109","2,219","2,055"
"04 Sep 2020","8,511","8,178","4,336","4,089","2,208","2,045"
"07 Sep 2020","8,517","8,186","4,339","4,093","2,210","2,046"
"08 Sep 2020","8,509","8,172","4,335","4,088","2,208","2,043"
"09 Sep 2020","8,550","8,216","4,356","4,108","2,218","2,054"
"10 Sep 2020","8,596","8,262","4,379","4,131","2,230","2,065"
"11 Sep 2020","8,558","8,217","4,360","4,109","4,109","2,054"
"11 Sep 2020","8,587","8,255","4,375","4,128","2,228","2,064"
"14 Sep 2020","8,567","8,228","4,364","4,114","2,223","2,057"
"15 Sep 2020","8,599","8,265","4,381","4,132","2,231","2,066"
"17 Sep 2020","8,585","8,251","4,374","4,126","2,227","2,063"
"18 Sep 2020","8,546","8,213","4,354","4,107","2,217","2,053"
"21 Sep 2020","8,524","8,188","4,342","4,094","2,211","2,047"
"22 Sep 2020","8,409","8,072","4,284","4,036","2,182","2,018"
"23 Sep 2020","8,347","8,022","4,252","4,011","2,166","2,006"
"24 Sep 2020","8,223","7,894","4,189","3,947","2,133","1,974"
"25 Sep 2020","8,257","7,926","4,206","3,963","2,142","1,981"
"28 Sep 2020","8,232","7,911","4,193","3,956","4,193","1,978"
